Route,Year,Quarter,OnTimePC,UpTo15MinsPC,UpTo30MinsPC,UpTo60MinsPC,Over60MinsPC,Scheduled,OriginalSchedule,OriginalSchedulePC,Rescheduled,RescheduledPC,Sailings,SailingsPC,Cancelled,CancelledPC
Conventional,2012,1,76,9,7,6,3,233,202,0.8669527897,30,0.1287553648,232,0.9957081545,1,0.004291845494
Conventional,2013,1,81,6,6,5,2,302,284,0.940397351,16,0.05298013245,300,0.9933774834,2,0.006622516556
Conventional,2014,1,70,8,5,9,7,296,272,0.9189189189,22,0.07432432432,294,0.9932432432,2,0.006756756757
Northern Route,2012,1,64,18,11,6,1,158,121,0.7658227848,35,0.2215189873,156,0.9873417722,2,0.01265822785
Northern Route,2013,1,74,14,6,3,3,160,128,0.8,24,0.15,152,0.95,8,0.05
Northern Route,2014,1,75,7,9,7,1,136,70,0.5147058824,60,0.4411764706,130,0.9558823529,6,0.04411764706
Southern Route,2012,1,47,30,14,8,1,161,141,0.8757763975,14,0.08695652174,155,0.9627329193,6,0.03726708075
Southern Route,2013,1,78,14,6,2,0,180,142,0.7888888889,37,0.2055555556,179,0.9944444444,1,0.005555555556
Southern Route,2014,1,78,10,9,2,2,176,114,0.6477272727,48,0.2727272727,162,0.9204545455,14,0.07954545455
Conventional,2012,2,77,11,4,4,4,315,292,0.926984127,20,0.06349206349,312,0.9904761905,3,0.009523809524
Conventional,2013,2,89,6,1,4,0,234,234,1,0,0,234,1,0,0
Conventional,2014,2,87,6,4,3,1,318,316,0.9937106918,2,0.006289308176,318,1,0,0
Northern Route,2012,2,72,13,8,2,2,565,189,0.3345132743,344,0.6088495575,533,0.9433628319,32,0.05663716814
Northern Route,2013,2,79,11,8,3,1,560,512,0.9142857143,28,0.05,540,0.9642857143,20,0.03571428571
Northern Route,2014,2,74,13,8,3,1,543,426,0.7845303867,116,0.2136279926,542,0.9981583794,1,0.001841620626
Southern Route,2012,2,75,11,8,0,0,486,464,0.9547325103,11,0.02263374486,475,0.9773662551,11,0.02263374486
Southern Route,2013,2,78,12,5,4,1,454,397,0.8744493392,57,0.1255506608,454,1,0,0
Southern Route,2014,2,79,13,6,2,0,461,415,0.9002169197,46,0.09978308026,461,1,0,0
Conventional,2012,3,85,8,3,2,2,306,282,0.9215686275,24,0.07843137255,306,1,0,0
Conventional,2013,3,83,5,6,4,1,237,237,1,0,0,237,1,0,0
Conventional,2014,3,74,11,6,5,5,318,286,0.8993710692,19,0.05974842767,305,0.9591194969,13,0.04088050314
Northern Route,2012,3,46,17,16,13,9,620,244,0.3935483871,343,0.5532258065,587,0.9467741935,33,0.05322580645
Northern Route,2013,3,68,20,10,2,1,684,642,0.9385964912,40,0.05847953216,682,0.9970760234,2,0.002923976608
Northern Route,2014,3,63,15,15,6,1,684,622,0.9093567251,62,0.09064327485,684,1,0,0
Southern Route,2012,3,69,12,10,8,2,517,466,0.9013539652,42,0.08123791103,508,0.9825918762,9,0.01740812379
Southern Route,2013,3,76,15,7,3,0,513,487,0.9493177388,26,0.05068226121,513,1,0,0
Southern Route,2014,3,73,13,9,3,2,512,494,0.96484375,18,0.03515625,512,1,0,0
Conventional,2012,4,82,7,6,5,0,94,93,0.9893617021,1,0.01063829787,94,1,0,0
Conventional,2013,4,74,7,7,5,7,296,266,0.8986486486,30,0.1013513514,296,1,0,0
Conventional,2014,4,60,13,13,8,6,431,370,0.8584686775,59,0.1368909513,429,0.9953596288,2,0.00464037123
Northern Route,2012,4,58,14,12,11,5,168,-11,-0.06547619048,151,0.8988095238,140,0.8333333333,28,0.1666666667
Northern Route,2013,4,73,11,12,3,1,204,136,0.6666666667,64,0.3137254902,200,0.9803921569,4,0.01960784314
Northern Route,2014,4,66,14,14,5,1,236,195,0.8262711864,37,0.156779661,232,0.9830508475,4,0.01694915254
Southern Route,2012,4,85,4,6,5,0,142,105,0.7394366197,33,0.2323943662,138,0.9718309859,4,0.02816901408
Southern Route,2013,4,80,10,4,5,0,236,195,0.8262711864,41,0.1737288136,236,1,0,0
Southern Route,2014,4,74,17,8,1,1,262,220,0.8396946565,39,0.1488549618,259,0.9885496183,3,0.01145038168