Year, Quarter, Mean average (topped and tailed by 2.5%), Median average (all residential), Mean average (houses only), Median average (apartments only), Mix adjusted, Number of transactions
1981, Q1, 28135,,,,,
1981, Q3, 28368,,,,,
1982, Q1, 28601,,,,,
1982, Q3, 28501,,,,,
1983, Q1, 28400,,,,,
1983, Q3, 31263,,,,,
1984, Q1, 34125,,,,,
1984, Q3, 35368,,,,,
1985, Q1, 36610,,,,,
1985, Q3, 39997,,,,,
1986, Q1, 43384,,,,,
1986, Q3, 50357,,,,,
1987, Q1, 57330,,,,,
1987, Q3, 62710,,,,,
1988, Q1, 68090,,,,,
1988, Q3, 82660,,,,,
1989, Q1, 97229,,,,,
1989, Q3, 105924,,,,,
1990, Q1, 104128,,,,,
1990, Q3, 95334,,,,,
1991, Q1, 94841,,,,,
1991, Q3, 104236,,,,,
1992, Q1, 97000,,,,,
1992, Q2, 89914,,,,,
1992, Q3, 100187,,,,,
1992, Q4, 97129,,,,,
1993, Q1, 94951,,,,,
1993, Q2, 99372,,,,,
1993, Q3, 93910,,,,,
1993, Q4, 94812,,,,,
1994, Q1, 94006,,,,,
1994, Q2, 99271,,,,,
1994, Q3, 99142,,,,,
1994, Q4, 97029,,,,,
1995, Q1, 96680,,,,,
1995, Q2, 107466,,,,,
1995, Q3, 105458,,,,,
1995, Q4, 101988,,,,,
1996, Q1, 101977,,,,,
1996, Q2, 110482,,,,,
1996, Q3, 124674,,,,,
1996, Q4, 125765,,,,,
1997, Q1, 127560,,,,,
1997, Q2, 137649,,,,,
1997, Q3, 159444,,,,,
1997, Q4, 139717,,,,,
1998, Q1, 157802,,,,,
1998, Q2, 146981,,,,,
1998, Q3, 160836,,,,,166
1998, Q4, 145939,,,,,247
1999, Q1, 160624, 145000,,,,
1999, Q2, 152202, 142000,,,,
1999, Q3, 161909, 150100,,,,261
1999, Q4, 170812, 154000,,,,209
2000, Q1, 177707, 154500,,,,158
2000, Q2, 189292, 171000,,,,225
2000, Q3, 192799, 176000,,,,233
2000, Q4, 203616, 188300,,,,180
2001, Q1, 210664, 193000,,,,216
2001, Q2, 221445, 209000,,,,255
2001, Q3, 227900, 212000,,,,224
2001, Q4, 245533, 230500,,,,224
2002, Q1, 226488, 205000,,,,211
2002, Q2, 255116, 240000,,,,251
2002, Q3, 263299, 241500,,,,321
2002, Q4, 263585, 245000,,,,249
2003, Q1, 264992, 251500, 275000, 162500,, 172
2003, Q2, 269977, 255000, 275250, 171000,, 239
2003, Q3, 268041, 249500, 280000, 169313,, 261
2003, Q4, 288105, 260125, 285000, 172950,, 234
2004, Q1, 275231, 270000, 297125, 171250,, 202
2004, Q2, 283806, 275000, 303525, 184000,, 257
2004, Q3, 287572, 261250, 294750, 184500,, 265
2004, Q4, 294466, 281000, 292125, 182800,, 217
2005, Q1, 287180, 275000, 296000, 189050,, 207
2005, Q2, 278430, 261250, 299250, 173750,, 238
2005, Q3, 300919, 277650, 318250, 185000,, 268
2005, Q4, 300038, 279500, 317625, 186675,, 216
2006, Q1, 319090, 291250, 321250, 196875,, 212
2006, Q2, 311961, 290000, 324550, 188100,, 263
2006, Q3, 322859, 304000, 342000, 181938,, 293
2006, Q4, 341104, 310650, 348125, 200000,, 269
2007, Q1, 332758, 305425, 340725, 214500,, 242
2007, Q2, 316984, 290000, 323500, 198523,, 252
2007, Q3, 334401, 304000, 342000, 202625,, 269
2007, Q4, 364463, 331075, 361000, 221250,, 257
2008, Q1, 359679, 325000, 371500, 261000,, 173
2008, Q2, 366166, 345000, 370500, 215165,, 238
2008, Q3, 365724, 351500, 387125, 204250, 373289, 180
2008, Q4, 384636, 342000, 389000, 233700, 370458, 163
2009, Q1, 318933, 289250, 372000, 215175, 369761, 129
2009, Q2, 355614, 346275, 381625, 215500, 371897, 202
2009, Q3, 375443, 344613, 396625, 234063, 392889, 206
2009, Q4, 404393, 330500, 356250, 216750, 392602, 227
2010, Q1, 404376, 364088, 415000, 215000, 401632, 164
2010, Q2, 377061, 346750, 397700, 237500, 396509, 231
2010, Q3, 410055, 375250, 418000, 235900, 408503, 235
2010, Q4, 428313, 396500, 431000, 247950, 411074, 174
2011, Q1, 400647, 370500, 417250, 232750, 424714, 165
2011, Q2, 414654, 385375, 427500, 237358, 427226, 252
2011, Q3, 407520, 375000, 422750, 261250, 427025, 219
2011, Q4, 424510, 403750, 443375, 237500, 438432, 205
2012, Q1, 434402, 394250, 445075, 261725, 483152, 170
2012, Q2, 447691, 418000, 456050, 256500, 439861, 232
2012, Q3, 464607, 437000, 474525, 267900, 445326, 207
2012, Q4, 456200, 422750, 452675, 257450, 442508, 166
2013, Q1, 440227, 399500, 451375, 266000, 447628, 142
2013, Q2, 429442, 411825, 477375, 255550, 455872, 192
2013, Q3, 447127, 417050, 483500, 271438, 465008, 196
2013, Q4, 440432, 405325, 460750, 271748, 447205, 176
2014, Q1, 434787, 401375, 448400, 267188, 453398, 131